time,V_tc
15.000778,0.015379766
30.000873,0.015753378
45.000232,0.016131441
60.000876,0.016488414
75.000935,0.016820555
90.000071,0.017128914
105.0006,0.017418644
120.00064,0.017677996
135.00083,0.017952286
150.00005,0.018204137
165.00047,0.018442931
179.9999,0.018671663
195.00102,0.01889202
210.00035,0.019105028
224.99987,0.019312504
240.00082,0.019511047
255.00041,0.019703625
269.99945,0.019894605
285.00037,0.020075754
300.00001,0.020256201
314.9997,0.020430062
330.00081,0.020602336
344.99933,0.020768939
359.99917,0.0209336
374.99932,0.021091867
389.9997,0.021248152
404.99929,0.021401304
419.99901,0.021553402
434.99948,0.021703216
449.99893,0.021848932
464.99906,0.02199367
479.99934,0.022136421
494.99936,0.022275221
509.99936,0.022411888
524.9996,0.022547021
539.99891,0.022681265
554.99919,0.022812006
569.99984,0.022944803
584.9992,0.023070572
599.9987,0.023196859
614.99851,0.023321028
629.9988,0.0234446
644.99882,0.0235676
659.99877,0.023690081
674.99865,0.023809542
689.99884,0.02392819
704.99832,0.024046267
719.99802,0.024162075
734.99798,0.024276498
749.99872,0.024388535
764.99794,0.024489684
779.99868,0.024604488
794.99829,0.024716474
809.99856,0.02482577
824.99857,0.024932807
839.99829,0.025039286
854.99774,0.025144382
869.99836,0.025240409
884.99753,0.025343271
899.99748,0.025445004
914.99824,0.025525469
929.99835,0.025635336
944.99802,0.025734214
959.99857,0.025821506
974.99808,0.02592277
989.9981,0.026017625
1004.998,0.026110437
1019.9975,0.026200534
1034.9976,0.026292574
1049.9979,0.026382455
1064.9977,0.026472412
1079.9974,0.026559235
1094.9971,0.026647859
1109.997,0.026733527
1124.9971,0.026818446
1139.9974,0.02690334
1154.9966,0.026986724
1169.9977,0.027068712
1184.9975,0.027151804
1199.9967,0.027233145
1214.9968,0.027314196
1229.9967,0.027394116
1244.9966,0.027471548
1259.9976,0.027551328
1274.9963,0.027624852
1289.9968,0.027694709
1304.9967,0.027766849
1319.9967,0.027838838
1334.9967,0.02790858
1349.996,0.027978196
1364.9959,0.028047456
1379.9965,0.028115155
1394.9969,0.028182766
1409.9964,0.028249387
1424.9958,0.028318116
1439.9958,0.028384
1454.9962,0.028448134
1469.9958,0.028511595
1484.9962,0.028576604
1499.996,0.028641791
1514.9955,0.028704605
1529.9956,0.028763688
1544.9962,0.028823405
1559.9961,0.028883834
1574.9959,0.028941445
1589.9961,0.029002469
1604.9958,0.029058684
1619.9957,0.029115877
1634.9958,0.029170607
1649.9956,0.029204286
1664.9957,0.02927701
1679.995,0.029331677
1694.9959,0.029383646
1709.9955,0.029441486
1724.9956,0.029496508
1739.996,0.029551518
1754.9953,0.029605284
1769.9946,0.029656664
1784.9959,0.029708832
1799.9946,0.029760517
1814.9951,0.029814257
1829.9947,0.029867389
1844.9948,0.029920229
1859.995,0.029973513
1874.9948,0.030027266
1889.9948,0.030080296
1904.9947,0.030132032
1919.9945,0.030183717
1934.9945,0.030235135
1949.9947,0.030285932
1964.995,0.030334508
1979.9946,0.03038467
1994.9943,0.030435152
2009.9946,0.030484642
2024.9945,0.030532037
2039.9944,0.030580334
2054.9945,0.030628098
2069.9937,0.030673743
2084.9952,0.030722294
2099.9944,0.030767608
2114.9952,0.030813761
2129.9935,0.030857147
2144.9936,0.030901269
2159.9935,0.030945137
2174.9937,0.030988561
2189.9936,0.031032391
2204.9933,0.031075993
2219.9941,0.031123553
2234.994,0.031166749
2249.9938,0.031206239
2264.9938,0.031247202
2279.9933,0.031292592
2294.9935,0.031337374
2309.9936,0.03138043
2324.9938,0.031421037
2339.993,0.031464641
2354.9933,0.031507329
2369.9932,0.031547098
2384.9933,0.031587109
2399.9933,0.031628693
2414.9942,0.03166916
2429.993,0.031711201
2444.9927,0.031753343
2459.993,0.031788265
2474.9929,0.03183207
2489.9924,0.031869416
2504.993,0.031913106
2519.9926,0.031953827
2534.9924,0.031992632
2549.9929,0.032028963
2564.9928,0.032065979
2579.9923,0.032085216
2594.9928,0.032128856
2609.992,0.03216544
2624.9928,0.032199258
2639.9921,0.032228571
2654.9923,0.032257174
2669.9922,0.032285446
2684.992,0.032309811
2699.9919,0.032339542
2714.9919,0.032366965
2729.9925,0.032397712
2744.9921,0.03242568
2759.9915,0.032454587
2774.9919,0.032483951
2789.9919,0.03251243
2804.9918,0.032540728
2819.9924,0.032568899
2834.9916,0.032601728
2849.9912,0.032632119
2864.9919,0.032660861
2879.992,0.032663374
2894.9912,0.032708917
2909.9921,0.0327412
2924.9911,0.03277116
2939.9911,0.032801069
2954.9912,0.032829875
2969.9909,0.032860571
2984.9912,0.032892207
2999.9911,0.032922801
3014.991,0.032952318
3029.9916,0.032982392
3044.9906,0.033015588
3059.9917,0.033042998
3074.9912,0.033071638
3089.9913,0.033101954
3104.991,0.033129935
3119.9904,0.03315605
3134.9909,0.033184475
3149.9909,0.033213928
3164.9908,0.033242644
3179.9904,0.033269318
3194.9903,0.033295497
3209.9905,0.033320165
3224.9903,0.033342829
3239.9909,0.033368145
3254.9899,0.033383043
3269.9899,0.033398334
3284.9899,0.033410084
3299.9898,0.033440603
3314.9904,0.033464637
3329.9904,0.033486197
3344.9903,0.033508873
3359.9897,0.033527654
3374.9896,0.033551079
3389.9903,0.033574304
3404.9894,0.033596651
3419.9902,0.033621611
3434.99,0.033642816
3449.9897,0.033664185
3464.9893,0.033747924
3479.9901,0.03386189
3494.9901,0.033973927
3509.99,0.03407731
3524.9897,0.034175718
3539.9892,0.034272832
3554.9892,0.034365251
3569.9906,0.034458393
3584.9895,0.034542627
3599.9891,0.034626229
3614.989,0.03470762
3629.989,0.034787108
3644.9889,0.03485633
3659.9893,0.034930882
3674.989,0.035010116
3689.9887,0.035071839
3704.9888,0.035148738
3719.9885,0.035208126
3734.9886,0.035281053
3749.9896,0.035348651
3764.9898,0.035413204
3779.9886,0.035477439
3794.9895,0.035539986
3809.989,0.03560351
3824.9889,0.035664502
3839.9889,0.03572389
3854.9888,0.035784
3869.9882,0.03584165
3884.9887,0.0359002
3899.988,0.035956999
3914.9885,0.036012084
3929.9886,0.036066333
3944.9884,0.03611935
3959.9883,0.036172165
3974.9882,0.036223647
3989.9879,0.036272311
4004.9876,0.036324986
4019.9883,0.036376405
4034.9878,0.036424676
4049.9876,0.036468049
4064.9873,0.036516867
4079.9874,0.036566991
4094.988,0.036578957
4109.9871,0.036638357
4124.9878,0.036686654
4139.9875,0.036732453
4154.9874,0.03677622
4169.9872,0.036821027
4184.9871,0.036864032
4199.9877,0.036897977
4214.9877,0.036943888
4229.9873,0.036985269
4244.987,0.03702863
4259.9875,0.037069389
4274.9873,0.037108638
4289.988,0.037147634
4304.9875,0.037181046
4319.9869,0.037224419
4334.9868,0.037261777
4349.9871,0.037298488
4364.9871,0.037336963
